Word,Count
і,509
не,502
що,464
в,451
гамлет,403
й,368
на,360
я,345
як,260
а,255
з,243
до,205
він,201
так,174
та,172
король,159
за,159
його,157
гораціо,153
це,151
у,138
ви,132
ти,122
мене,122
чи,116
вам,114
полоній,111
мій,109
ні,105
то,99
вас,96
б,96
принце,94
королева,93
ще,89
мені,88
коли,83
ми,81
про,80
хай,78
лаерт,77
ж,75
розенкранц,73
щоб,72
все,69
офелія,65
вже,64
би,63
нас,63
нам,60
о,59
від,58
тут,58
пане,58
мов,56
їх,55
але,53
хто,50
хоч,50
її,49
той,48
бо,48
гільденстерн,47
виходить,47
де,47
гробокоп,47
для,46
марцелл,45
тобі,44
там,43
по,43
вона,43
ось,41
тепер,41
вони,41
йому,40
без,39
цей,39
те,38
виходять,38
входять,37
нього,35
ним,35
ну,34
час,34
бернардо,33
собі,33
батька,31
тебе,31
короля,30
озрік,30
був,30
чого,30
може,30
привид,29
гамлета,28
наш,28
із,28
всі,28
лиш,28
того,28
входить,27
твій,27
моя,27
навіть,27
буде,27
сам,26
ніж,26
є,25
якщо,25
ваша,25
тільки,23
землі,23
них,23
гамлете,23
чому,22
аж,22
батько,22
життя,22
можна,22
смерть,22
ваш,22
же,22
тим,22
слова,22
сцена,21
розум,21
далі,21
будь,21
їй,21
ніч,20
хіба,20
лише,20
треба,20
лаерте,20
щось,20
серце,20
душі,20
рейнальдо,19
перед,19
їм,19
раз,19
добре,19
слово,19
прощай,19
цього,19
себе,18
знаю,18
таке,18
чим,18
має,18
бути,18
любов,18
свій,18
ця,18
геть,18
син,17
мати,17
всіх,17
над,17
от,17
було,17
нічого,17
кого,17
актори,16
друзі,16
якби,16
справді,16
прошу,16
ці,16
світі,16
ті,16
більше,16
ласка,16
тож,15
такий,15
добрий,15
мої,15
знати,15
тім,15
данії,14
гей,14
тоді,14
світ,14
під,14
свої,14
дух,14
адже,14
цім,14
слід,14
ходім,14
дуже,14
сказати,14
сюди,14
співає,14
фортінбрас,13
який,13
або,13
смерті,13
правда,13
замку,13
ласкавий,13
боже,13
немов,13
нема,13
друже,13
кімната,13
сценою,13
годі,13
гаразд,13
пані,13
полонія,12
добраніч,12
цю,12
йде,12
які,12
тих,12
річ,12
яку,12
усе,12
поки,12
теж,12
проти,12
усі,12
моє,12
честі,12
глузду,12
панове,12
ох,12
свою,12
франціско,11
два,11
скажи,11
наче,11
була,11
знов,11
кажи,11
така,11
мав,11
ба,11
гляньте,11
душа,11
серця,11
хочеш,11
волі,11
убік,11
вашій,11
крім,11
при,11
королю,11
якого,11
зараз,11
неї,11
актор,11
вчинок,11
милість,11
принц,10
нехай,10
образ,10
тобою,10
бачив,10
авжеж,10
слів,10
цій,10
день,10
кажуть,10
руки,10
клянусь,10
скажу,10
горе,10
гріх,10
мою,10
очі,10
любий,10
вельми,10
невже,10
моєї,10
людина,10
стане,10
краще,10
мого,10
міг,10
ніби,10
добродію,10
гертрудо,10
отже,10
ой,10
надто,10
дива,9
діло,9
чім,9
воно,9
доля,9
землю,9
жаль,9
цим,9
вашу,9
думки,9
сину,9
через,9
люба,9
самого,9
вашого,9
бачу,9
ту,9
тому,9
голову,9
лице,9
вами,9
крові,9
більш,9
офеліє,9
часом,9
мушу,9
безум,9
доки,9
один,9
меч,9
знаєте,9
двері,9
двох,9
були,9
чоловік,9
сльози,9
гільдєнстерн,9
капітан,8
іди,8
інші,8
ночі,8
колись,8
моїх,8
чом,8
такі,8
неба,8
самі,8
нині,8
міру,8
інше,8
свого,8
матір,8
ній,8
яких,8
мойого,8
язик,8
такого,8
став,8
прийде,8
самому,8
кохання,8
страх,8
слухай,8
правду,8
кров,8
твої,8
дай,8
йдіть,8
отак,8
бог,8
нею,8
значить,8
маю,8
могилу,8
зі,8
череп,8
англію,8
аби,8
тіло,8
англії,8
заклад,8
також,7
вітаю,7
бачили,7
знову,7
імя,7
очей,7
саме,7
край,7
суд,7
трохи,7
приязнь,7
одначе,7
лиха,7
відомо,7
кінець,7
бажання,7
вашої,7
речі,7
однак,7
вельможа,7
твоя,7
нім,7
справжній,7
місяць,7
сказав,7
сама,7
просто,7
моїй,7
одну,7
своїм,7
сурми,7
чесноти,7
куди,7
душу,7
вуха,7
голос,7
знаєш,7
гільденстерне,7
будьте,7
одне,7
три,7
дарма,7
потім,7
між,7
стиха,7
серед,7
впаде,7
небо,7
пекло,7
лихо,7
вольтіманд,6
корнелій,6
почет,6
стій,6
здається,6
яким,6
небес,6
пішов,6
фортінбраса,6
причина,6
гадаю,6
нашу,6
дорогу,6
спасіння,6
краю,6
наші,6
смуток,6
ваші,6
брат,6
чув,6
голова,6
ваше,6
скаже,6
дав,6
дозвольте,6
сонце,6
батьків,6
сина,6
відповідь,6
сором,6
умер,6
рад,6
зір,6
радий,6
матері,6
мало,6
сю,6
зброї,6
тінь,6
краси,6
сили,6
сила,6
вір,6
шлях,6
он,6
кладе,6
принца,6
ходи,6
скоро,6
фортуни,6
бажає,6
дещо,6
любив,6
всім,6
кляніться,6
ніхто,6
цьому,6
листи,6
людей,6
почути,6
вік,6
яка,6
офелії,6
сон,6
маєте,6
ньому,6
пірр,6
руці,6
меча,6
горем,6
часу,6
легше,6
сказали,6
кінця,6
дати,6
сталось,6
чий,6
придворний,6
лаерта,6
почнім,6
придворні,5
слуга,5
дія,5
варті,5
перше,5
дяка,5
чути,5
слуги,5
нізащо,5
разом,5
туди,5
щойно,5
навіщо,5
вбив,5
життям,5
рукою,5
помоєму,5
либонь,5
чував,5
бога,5
чоло,5
глузд,5
доти,5
королеву,5
брата,5
прийшов,5
рука,5
обовязок,5
повік,5
глянь,5
прах,5
ані,5
легко,5
нашого,5
менше,5
твоїх,5
вся,5
честь,5
келих,5
кохав,5
уже,5
довше,5
добра,5
гадаєте,5
оце,5
справи,5
зиск,5
дня,5
дві,5
ними,5
признання,5
атож,5
виду,5
можливо,5
цить,5
зпід,5
воля,5
тіла,5
якому,5
ділом,5
руку,5
друзів,5
нікому,5
чуття,5
собою,5
прощайте,5
пак,5
словами,5
наше,5
звичка,5
добрі,5
манить,5
безумство,5
інша,5
усіх,5
силу,5
швидше,5
справу,5
груди,5
жінка,5
мечі,5
сцени,5
старий,5
згодом,5
живуть,5
вітер,5
хотів,5
їйбогу,5
сніг,5
казав,5
знайти,5
розенкранце,5
ласкаві,5
ніг,5
господи,5
величність,5
військо,5
збожеволів,5
своїй,5
читає,5
пан,5
дочку,5
багато,5
бракує,5
негоже,5
ото,5
стільки,5
мною,5
ближче,5
діла,5
грати,5
акторів,5
відколи,5
монолог,5
таку,5
давно,5
таки,5
сумління,5
виставу,5
суду,5
хоча,5
бачить,5
акторкоролева,5
зрада,5
господь,5
світла,5
ніщо,5
жде,5
скажіть,5
досить,5
леле,5
чеснот,5
мали,5
твого,5
вмер,5
священик,4
норвезький,4
живе,4
дванадцять,4
держави,4
чесний,4
вважає,4
нами,4
мовив,4
бачите,4
покійний,4
принаймні,4
чия,4
ввесь,4
видно,4
намір,4
втратив,4
зорі,4
страшний,4
всього,4
маєш,4
дар,4
озвись,4
скарб,4
півень,4
говори,4
повітря,4
мовби,4
зла,4
згодні,4
повинність,4
велить,4
фанфари,4
гамлетову,4
годиться,4
отож,4
взяли,4
щастя,4
наша,4
силі,4
щодо,4
дядька,4
навряд,4
наміри,4
завжди,4
датський,4
звідкіль,4
дозволу,4
згоден,4
досі,4
долі,4
зітхання,4
природи,4
удар,4
ходімо,4
небу,4
втіхи,4
місяці,4
мужа,4
бере,4
привіт,4
бачити,4
вечір,4
ворог,4
очима,4
мить,4
ради,4
голови,4
ступив,4
дивно,4
кажете,4
повній,4
блідий,4
шляхетний,4
звичайно,4
тішить,4
службу,4
коханні,4
красу,4
знай,4
ким,4
часто,4
путь,4
уклінно,4
казати,4
ет,4
аніж,4
наказ,4
звичай,4
своєї,4
кості,4
закону,4
піти,4
причини,4
привида,4
небеса,4
гріхи,4
вбивство,4
хист,4
ніколи,4
живого,4
весь,4
памятай,4
небесне,4
память,4
всю,4
гад,4
варт,4
злочин,4
дізнатись,4
можете,4
чуєте,4
мечем,4
ідіть,4
думку,4
любовю,4
перш,4
задум,4
знав,4
волю,4
сподіваюсь,4
вслід,4
пана,4
люди,4
пильнуй,4
музики,4
коліна,4
боюсь,4
божевілля,4
гірше,4
могло,4
вашим,4
негайно,4
цих,4
належить,4
дійшов,4
врешті,4
вертається,4
любі,4
чин,4
вислів,4
дочка,4
хотілось,4
стіл,4
пальці,4
показуючи,4
килим,4
буду,4
плід,4
само,4
голові,4
проте,4
могли,4
живете,4
тюрма,4
королі,4
послуг,4
дякую,4
стати,4
чимало,4
якийсь,4
біс,4
після,4
цілий,4
враз,4
вистава,4
пєса,4
думка,4
пріама,4
вічний,4
кривавий,4
завтра,4
ясний,4
вчинив,4
словом,4
терпіти,4
увазі,4
черниці,4
можу,4
землею,4
дам,4
чули,4
серці,4
вину,4
марш,4
отруту,4
акторкороль,4
тридцять,4
круг,4
величності,4
говорити,4
вина,4
своє,4
килимом,4
прокляття,4
заради,4
рятуйте,4
увесь,4
замір,4
лоб,4
галас,4
датського,4
миру,4
щиро,4
квіти,4
іде,4
датчани,4
сестра,4
гонець,4
понеже,4
гармат,4
умирає,4
королівський,3
посли,3
місце,3
ельсінор,3
сьогодні,3
спати,3
вільям,3
шекспір,3
різні,3
и,3
страшне,3
двічі,3
пусте,3
слух,3
дійшла,3
годину,3
відходить,3
певне,3
такому,3
норвежця,3
лід,3
далебі,3
всій,3
напасті,3
знає,3
нащо,3
варта,3
гармати,3
важкий,3
зна,3
таким,3
джерело,3
державі,3
якраз,3
дні,3
могутній,3
плями,3
добру,3
зробити,3
відома,3
іще,3
почувши,3
огні,3
вірю,3
молодого,3
самих,3
радість,3
журбою,3
оці,3
межі,3
лишень,3
послуги,3
володарю,3
франції,3
назад,3
згоду,3
навпаки,3
доволі,3
обернувся,3
звичайна,3
кожне,3
глибше,3
певний,3
небом,3
розуму,3
об,3
перший,3
просить,3
данія,3
ласкава,3
недоладні,3
пусті,3
лиця,3
минув,3
твоє,3
звір,3
шлюб,3
ельсінорі,3
одно,3
радше,3
пригадую,3
двоє,3
північ,3
хтось,3
кроком,3
достоту,3
води,3
втім,3
живий,3
озброєний,3
аякже,3
гнів,3
довго,3
борода,3
мовчати,3
сталося,3
душе,3
цілком,3
шмат,3
годен,3
словам,3
розпусті,3
вдруге,3
ждуть,3
корабель,3
стривай,3
прийми,3
благословення,3
затям,3
язика,3
людину,3
борг,3
друга,3
душею,3
дочко,3
казали,3
бува,3
тату,3
клятви,3
полумя,3
молодий,3
холодно,3
мабуть,3
постріли,3
пє,3
єство,3
людям,3
блаженний,3
пекла,3
батьку,3
згинув,3
труп,3
піду,3
боятись,3
мислі,3
море,3
кличе,3
кажу,3
уява,3
хутчій,3
убивство,3
саду,3
урвав,3
вінець,3
дядько,3
віє,3
вмить,3
чорний,3
чистий,3
гріха,3
тягар,3
постелі,3
лиши,3
памяті,3
мудрість,3
молодості,3
важить,3
духу,3
пробачте,3
чину,3
сказать,3
прохання,3
моїм,3
дехто,3
наздогад,3
дружбу,3
уст,3
зрозумів,3
жарти,3
вино,3
повії,3
інакше,3
клопіт,3
крий,3
покої,3
ногах,3
страшні,3
стояв,3
наосліп,3
веліли,3
зїхав,3
вважати,3
побачити,3
водночас,3
потребу,3
обох,3
поруч,3
ласку,3
назустріч,3
королівську,3
готові,3
наказу,3
вдячні,3
змінився,3
державцю,3
батькова,3
ледве,3
польщі,3
тисячі,3
польщу,3
лист,3
вельможний,3
божій,3
тобто,3
причину,3
слухайте,3
відверто,3
панно,3
впав,3
вийшло,3
чотири,3
ходить,3
благаю,3
звідси,3
чесним,3
тисяч,3
чиста,3
божий,3
віку,3
щастить,3
спасибі,3
місці,3
велика,3
доброго,3
честолюбність,3
сни,3
тіні,3
решти,3
нубо,3
ваших,3
еге,3
земля,3
оцей,3
данину,3
такій,3
гору,3
вигляд,3
побачите,3
трьох,3
легкий,3
славу,3
таких,3
твоєї,3
полонить,3
грім,3
замість,3
решту,3
гонзаго,3
удома,3
уяві,3
лицем,3
вигадки,3
глядачів,3
жах,3
владу,3
злий,3
спокій,3
готовий,3
серцем,3
біль,3
робить,3
молитві,3
візьміть,3
вашою,3
здійснити,3
пощо,3
робите,3
одного,3
надія,3
попросить,3
здоровий,3
власне,3
стану,3
їхню,3
видовище,3
удари,3
згоді,3
одна,3
неначе,3
робити,3
забули,3
плач,3
стає,3
незабаром,3
отруйник,3
корону,3
розпач,3
зміст,3
пролог,3
берегти,3
здоровя,3
великий,3
готова,3
другий,3
муж,3
зле,3
веде,3
надію,3
мила,3
луціан,3
вістря,3
помсти,3
трон,3
надзвичайно,3
відповім,3
зможу,3
назирці,3
любові,3
вмію,3
прийду,3
лишіть,3
ранить,3
небезпечно,3
безуму,3
державця,3
гори,3
оповім,3
помщусь,3
королеви,3
скривдив,3
сядьте,3
дзеркалі,3
ґвалт,3
лихий,3
рук,3
страшного,3
печать,3
дотик,3
королеві,3
ховати,3
матінко,3
трупом,3
ліки,3
жадає,3
манери,3
безглузді,3
всьому,3
жінку,3
біда,3
повернувся,3
ану,3
винен,3
глибокий,3
труну,3
вернеться,3
бій,3
пригоді,3
обставини,3
нормандець,3
мечів,3
пити,3
утопилась,3
втопилась,3
вінки,3
похристиянськи,3
вода,3
шибениця,3
хата,3
щелепа,3
анітрохи,3
александр,3
обряд,3
послання,3
лаертом,3
зброю,3
бються,3
вмираю,3
трупи,3
особи,2
племінник,2
друг,2
дворянин,2
офіцери,2
гробокопи,2
англійські,2
донька,2
вельможі,2
солдати,2
матроси,2
гінці,2
дії,2
майданчик,2
замком,2
прийшли,2
бє,2
зміну,2
генріх,2
моторошно,2
якось,2
варту,2
марцелле,2
химера,2
мовляв,2
тимто,2
вночі,2
сядь,2
наших,2
диво,2
бачене,2
сядьмо,2
сяє,2
поставою,2
схожий,2
чекає,2
пріч,2
відповість,2
зблід,2
потвоєму,2
богом,2
гніві,2
втретє,2
мертвих,2
воїна,2
проходить,2
знамення,2
розкаже,2
підданців,2
знаряддя,2
труд,2
хоробрий,2
вважав,2
знаний,2
герці,2
супроти,2
належним,2
пристали,2
разі,2
запальний,2
всяке,2
вернути,2
метушні,2
мара,2
щасливі,2
риму,2
могили,2
мерці,2
ходили,2
вулиць,2
криваві,2
сонці,2
тяжких,2
лихим,2
народу,2
зявляється,2
згубить,2
мови,2
піє,2
озвався,2
здригнувся,2
співом,2
сонця,2
ледь,2
повітрі,2
морі,2
завсіди,2
спішить,2
допіру,2
запіяв,2
тими,2
днями,2
блукати,2
ранок,2
ступає,2
росі,2
німий,2
розказати,2
вранці,2
зала,2
плекати,2
повити,2
натуру,2
сестру,2
сльоза,2
зваживши,2
поради,2
інших,2
справ,2
сподіваючись,2
повернути,2
вітця,2
листом,2
просимо,2
старого,2
небожа,2
усім,2
